"values","array"
18360.12,"C:"
18362.12,"C:"
18428.12,"C:"
18430.12,"C:"
18432.12,"C:"
18439.12,"C:"
18490.12,"C:"
18492.12,"C:"
18492.12,"C:"
18497.12,"C:"
18523.12,"C:"
18527.12,"C:"
18530.12,"C:"
18549.12,"C:"
18586.12,"C:"
18604.12,"C:"
18604.12,"C:"
18619.12,"C:"
18621.12,"C:"
18630.12,"C:"
18632.12,"C:"
18653.12,"C:"
18655.12,"C:"
18656.12,"C:"
18666.12,"C:"
18698.11,"C:"
18698.21,"C:"
18702.12,"C:"
18748.31,"C:"
18764.12,"C:"
18774.12,"C:"
18810.12,"C:"
18813.12,"C:"
18814.12,"C:"
18821.12,"C:"
18824.12,"C:"
18840.12,"C:"
18840.12,"C:"
18841.12,"C:"
18848.5,"C:"
18853.12,"C:"
18893.12,"C:"
18899.12,"C:"
18905.12,"C:"
18914.12,"C:"
18922.12,"C:"
18934.12,"C:"
18969.12,"C:"
19025.12,"C:"
19037.12,"C:"
19039.12,"C:"
19041.12,"C:"
19194.1,"C:"
19204.1,"C:"
19207.1,"C:"
19219.1,"C:"
19223.1,"C:"
19233.1,"C:"
19238.1,"C:"
19244.1,"C:"
19250.12,"C:"
19292.1,"C:"
19300.1,"C:"
19309.1,"C:"
19311.1,"C:"
19314.1,"C:"
